Gene stable ID,Gene stable ID version,Version (gene),Gene name,NCBI gene (formerly Entrezgene) ID,NCBI gene (formerly Entrezgene) accession
ENSCJAG00000077381,ENSCJAG00000077381.1,1,U6,118147983,LOC118147983
ENSCJAG00000074303,ENSCJAG00000074303.1,1,,,
ENSCJAG00000071296,ENSCJAG00000071296.1,1,U4,118147921,LOC118147921
ENSCJAG00000078393,ENSCJAG00000078393.1,1,U6,118148301,LOC118148301
ENSCJAG00000085335,ENSCJAG00000085335.1,1,,,
ENSCJAG00000086728,ENSCJAG00000086728.1,1,,,
ENSCJAG00000073680,ENSCJAG00000073680.1,1,,,
ENSCJAG00000078548,ENSCJAG00000078548.1,1,,,
ENSCJAG00000003187,ENSCJAG00000003187.4,4,SLITRK6,100386103,SLITRK6
ENSCJAG00000078495,ENSCJAG00000078495.1,1,,,
ENSCJAG00000041473,ENSCJAG00000041473.3,3,,,
ENSCJAG00000064752,ENSCJAG00000064752.2,2,,,
ENSCJAG00000080916,ENSCJAG00000080916.1,1,,,
ENSCJAG00000043566,ENSCJAG00000043566.3,3,U6,118148215,LOC118148215
ENSCJAG00000029903,ENSCJAG00000029903.4,4,cja-mir-31,,
ENSCJAG00000080342,ENSCJAG00000080342.1,1,,,
ENSCJAG00000072156,ENSCJAG00000072156.1,1,,,
ENSCJAG00000006773,ENSCJAG00000006773.5,5,PCID2,,
ENSCJAG00000003189,ENSCJAG00000003189.4,4,SLITRK5,,
ENSCJAG00000075133,ENSCJAG00000075133.1,1,,,
ENSCJAG00000053742,ENSCJAG00000053742.2,2,,,
ENSCJAG00000076923,ENSCJAG00000076923.1,1,,118148385,LOC118148385
ENSCJAG00000060785,ENSCJAG00000060785.2,2,,,
ENSCJAG00000084070,ENSCJAG00000084070.1,1,,,
ENSCJAG00000070270,ENSCJAG00000070270.1,1,U6,,
ENSCJAG00000074564,ENSCJAG00000074564.1,1,,,
ENSCJAG00000016415,ENSCJAG00000016415.5,5,PCDH20,100394655,PCDH20
ENSCJAG00000062836,ENSCJAG00000062836.2,2,,,
ENSCJAG00000062210,ENSCJAG00000062210.2,2,GAS1,,
ENSCJAG00000081470,ENSCJAG00000081470.1,1,U6,118148050,LOC118148050
ENSCJAG00000083300,ENSCJAG00000083300.1,1,,,
ENSCJAG00000069756,ENSCJAG00000069756.1,1,,,
ENSCJAG00000003196,ENSCJAG00000003196.4,4,,,
ENSCJAG00000080485,ENSCJAG00000080485.1,1,,,
ENSCJAG00000086702,ENSCJAG00000086702.1,1,,118148379,LOC118148379
ENSCJAG00000034697,ENSCJAG00000034697.4,4,U6,118148307,LOC118148307
ENSCJAG00000084670,ENSCJAG00000084670.1,1,,,
ENSCJAG00000078951,ENSCJAG00000078951.1,1,U6,118148032,LOC118148032
ENSCJAG00000008347,ENSCJAG00000008347.5,5,ATP7B,100384908,ATP7B
ENSCJAG00000070435,ENSCJAG00000070435.1,1,,,
ENSCJAG00000023458,ENSCJAG00000023458.3,3,MIR17,,
ENSCJAG00000008021,ENSCJAG00000008021.5,5,,100391632,MTAP
ENSCJAG00000024826,ENSCJAG00000024826.4,4,MIR18A,,
ENSCJAG00000030780,ENSCJAG00000030780.3,3,MIR19A,,
ENSCJAG00000006831,ENSCJAG00000006831.5,5,CUL4A,,
ENSCJAG00000026140,ENSCJAG00000026140.4,4,cja-mir-20a,,
ENSCJAG00000030224,ENSCJAG00000030224.4,4,cja-mir-19b-1,,
ENSCJAG00000029449,ENSCJAG00000029449.5,5,cja-mir-92a-2,,
ENSCJAG00000005536,ENSCJAG00000005536.5,5,ZNF484,,
ENSCJAG00000001131,ENSCJAG00000001131.5,5,CARNMT1,100404328,CARNMT1
ENSCJAG00000051705,ENSCJAG00000051705.2,2,,100394189,CDKN2A
ENSCJAG00000062364,ENSCJAG00000062364.2,2,,,
ENSCJAG00000069800,ENSCJAG00000069800.1,1,,,
ENSCJAG00000003211,ENSCJAG00000003211.5,5,GPC5,100387888,GPC5
ENSCJAG00000041063,ENSCJAG00000041063.3,3,Metazoa_SRP,,
ENSCJAG00000006900,ENSCJAG00000006900.5,5,LAMP1,100411833,LAMP1
ENSCJAG00000072232,ENSCJAG00000072232.1,1,Metazoa_SRP,,
ENSCJAG00000076988,ENSCJAG00000076988.1,1,,,
ENSCJAG00000010996,ENSCJAG00000010996.5,5,RFX3,100406513,RFX3
ENSCJAG00000008048,ENSCJAG00000008048.5,5,CDKN2B,100392363,CDKN2B
ENSCJAG00000070384,ENSCJAG00000070384.1,1,,,
ENSCJAG00000082005,ENSCJAG00000082005.1,1,,,
ENSCJAG00000086611,ENSCJAG00000086611.1,1,,,
ENSCJAG00000058382,ENSCJAG00000058382.2,2,,,
ENSCJAG00000074731,ENSCJAG00000074731.1,1,Y_RNA,,
ENSCJAG00000073424,ENSCJAG00000073424.1,1,,,
ENSCJAG00000022751,ENSCJAG00000022751.5,5,,,
ENSCJAG00000083826,ENSCJAG00000083826.1,1,,,
ENSCJAG00000008059,ENSCJAG00000008059.5,5,DMRTA1,,
ENSCJAG00000011484,ENSCJAG00000011484.5,5,TMEFF1,118142778,MSANTD3
ENSCJAG00000011484,ENSCJAG00000011484.5,5,TMEFF1,100385638,TMEFF1
ENSCJAG00000006915,ENSCJAG00000006915.6,6,GRTP1,100412191,GRTP1
ENSCJAG00000079951,ENSCJAG00000079951.1,1,,,
ENSCJAG00000003215,ENSCJAG00000003215.6,6,GPC6,100388614,GPC6
ENSCJAG00000085896,ENSCJAG00000085896.1,1,,,
ENSCJAG00000008074,ENSCJAG00000008074.5,5,BAG1,100398888,BAG1
ENSCJAG00000065871,ENSCJAG00000065871.2,2,,,
ENSCJAG00000065150,ENSCJAG00000065150.2,2,,108588279,LOC108588279
ENSCJAG00000075654,ENSCJAG00000075654.1,1,ADPRHL1,,
ENSCJAG00000076685,ENSCJAG00000076685.1,1,PRXL2C,100415410,PRXL2C
ENSCJAG00000076873,ENSCJAG00000076873.1,1,,,
ENSCJAG00000003225,ENSCJAG00000003225.5,5,DCT,,
ENSCJAG00000061240,ENSCJAG00000061240.2,2,,,
ENSCJAG00000011496,ENSCJAG00000011496.3,3,CAVIN4,100386352,CAVIN4
ENSCJAG00000072485,ENSCJAG00000072485.1,1,,,
ENSCJAG00000001156,ENSCJAG00000001156.6,6,TRPM6,,
ENSCJAG00000070039,ENSCJAG00000070039.1,1,,,
ENSCJAG00000083742,ENSCJAG00000083742.1,1,,,
ENSCJAG00000085183,ENSCJAG00000085183.1,1,,,
ENSCJAG00000067069,ENSCJAG00000067069.2,2,,,
ENSCJAG00000008104,ENSCJAG00000008104.5,5,CHMP5,100386110,CHMP5
ENSCJAG00000078281,ENSCJAG00000078281.1,1,,,
ENSCJAG00000081354,ENSCJAG00000081354.1,1,,,
ENSCJAG00000084468,ENSCJAG00000084468.1,1,,,
ENSCJAG00000061833,ENSCJAG00000061833.2,2,,,
ENSCJAG00000077311,ENSCJAG00000077311.1,1,,,
ENSCJAG00000071364,ENSCJAG00000071364.1,1,,,
ENSCJAG00000079116,ENSCJAG00000079116.1,1,,,
ENSCJAG00000084286,ENSCJAG00000084286.1,1,,,
ENSCJAG00000007103,ENSCJAG00000007103.4,4,GGTA1,100390928,GGTA1
ENSCJAG00000086114,ENSCJAG00000086114.1,1,,,
ENSCJAG00000053255,ENSCJAG00000053255.2,2,,,
ENSCJAG00000038309,ENSCJAG00000038309.3,3,DCUN1D2,100412534,DCUN1D2
ENSCJAG00000041446,ENSCJAG00000041446.3,3,Metazoa_SRP,,
ENSCJAG00000087383,ENSCJAG00000087383.1,1,,,
ENSCJAG00000019853,ENSCJAG00000019853.5,5,WDR41,100398190,WDR41
ENSCJAG00000016264,ENSCJAG00000016264.5,5,PLPPR1,100391157,PLPPR1
ENSCJAG00000003252,ENSCJAG00000003252.5,5,TGDS,,
ENSCJAG00000011083,ENSCJAG00000011083.6,6,GLIS3,,
ENSCJAG00000077025,ENSCJAG00000077025.1,1,,,
ENSCJAG00000030396,ENSCJAG00000030396.3,3,U1,118147899,LOC118147899
ENSCJAG00000083299,ENSCJAG00000083299.1,1,U1,118148527,LOC118148527
ENSCJAG00000008064,ENSCJAG00000008064.6,6,ELAVL2,100395627,ELAVL2
ENSCJAG00000073768,ENSCJAG00000073768.1,1,,,
ENSCJAG00000024764,ENSCJAG00000024764.3,3,,118148387,LOC118148387
ENSCJAG00000075363,ENSCJAG00000075363.1,1,,108590659,LOC108590659
ENSCJAG00000060715,ENSCJAG00000060715.2,2,,,
ENSCJAG00000080385,ENSCJAG00000080385.1,1,,,
ENSCJAG00000070493,ENSCJAG00000070493.1,1,,,
ENSCJAG00000074078,ENSCJAG00000074078.1,1,,,
ENSCJAG00000006931,ENSCJAG00000006931.5,5,TMCO3,100412892,TMCO3
ENSCJAG00000067237,ENSCJAG00000067237.2,2,,100398895,LOC100398895
ENSCJAG00000043138,ENSCJAG00000043138.3,3,GPR180,100390669,GPR180
ENSCJAG00000008142,ENSCJAG00000008142.5,5,NFX1,,
ENSCJAG00000060971,ENSCJAG00000060971.2,2,,,
ENSCJAG00000016292,ENSCJAG00000016292.5,5,BAAT,100396712,LOC100396712
ENSCJAG00000011113,ENSCJAG00000011113.5,5,SLC1A1,100410508,SLC1A1
ENSCJAG00000065295,ENSCJAG00000065295.2,2,,,
ENSCJAG00000003853,ENSCJAG00000003853.5,5,TDRD3,,
ENSCJAG00000054215,ENSCJAG00000054215.2,2,,,
ENSCJAG00000012598,ENSCJAG00000012598.5,5,,100387893,CDC14B
ENSCJAG00000065674,ENSCJAG00000065674.2,2,,,
ENSCJAG00000020318,ENSCJAG00000020318.5,5,,100386000,C1H9orf78
ENSCJAG00000054074,ENSCJAG00000054074.2,2,TMEM272,,
ENSCJAG00000074965,ENSCJAG00000074965.1,1,,,
ENSCJAG00000010197,ENSCJAG00000010197.6,6,COL5A1,,
ENSCJAG00000082330,ENSCJAG00000082330.1,1,U4,118147947,LOC118147947
ENSCJAG00000081488,ENSCJAG00000081488.1,1,Metazoa_SRP,,
ENSCJAG00000044399,ENSCJAG00000044399.3,3,PIM3,,
ENSCJAG00000057712,ENSCJAG00000057712.2,2,,,
ENSCJAG00000025135,ENSCJAG00000025135.3,3,U6,118148060,LOC118148060
ENSCJAG00000086344,ENSCJAG00000086344.1,1,U6,118148089,LOC118148089
ENSCJAG00000076571,ENSCJAG00000076571.1,1,Y_RNA,,
