Gene name,Gene stable ID version,Human gene stable ID,Human gene name,Human homology type,%id. target Human gene identical to query gene,%id. query gene identical to target Human gene,Human Gene-order conservation score,"Human orthology confidence [0 low, 1 high]",Mouse gene stable ID,Mouse gene name,Mouse homology type,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,Mouse Gene-order conservation score,"Mouse orthology confidence [0 low, 1 high]"
A1BG,ENSCJAG00000000314.5,ENSG00000121410,A1BG,ortholog_one2one,63.1259,84.0404,100.0,1.0,ENSMUSG00000022347,A1bg,ortholog_one2one,34.9014,44.9219,0.0,0.0
A1CF,ENSCJAG00000005045.5,ENSG00000148584,A1CF,ortholog_one2one,97.3064,98.6348,50.0,1.0,ENSMUSG00000052595,A1cf,ortholog_one2one,93.6027,93.4454,100.0,1.0
A2ML1,ENSCJAG00000018756.5,ENSG00000166535,A2ML1,ortholog_one2one,91.89,91.9532,100.0,1.0,,,,,,,
A3GALT2,ENSCJAG00000001190.4,ENSG00000184389,A3GALT2,ortholog_one2one,81.8444,83.5294,100.0,1.0,ENSMUSG00000028794,A3galt2,ortholog_one2one,68.2997,64.0541,100.0,1.0
A4GALT,ENSCJAG00000022137.4,ENSG00000128274,A4GALT,ortholog_one2one,89.2473,94.051,100.0,1.0,ENSMUSG00000047878,A4galt,ortholog_one2one,73.9247,76.6017,100.0,1.0
A4GNT,ENSCJAG00000002444.4,ENSG00000118017,A4GNT,ortholog_one2one,88.5294,88.5294,100.0,1.0,ENSMUSG00000037953,A4gnt,ortholog_one2one,72.0588,71.8475,100.0,1.0
AACS,ENSCJAG00000021394.5,ENSG00000081760,AACS,ortholog_one2one,95.0893,95.0893,100.0,1.0,ENSMUSG00000029482,Aacs,ortholog_one2one,89.7321,89.7321,100.0,1.0
AADAC,ENSCJAG00000001084.4,ENSG00000114771,AADAC,ortholog_one2one,88.9724,88.9724,100.0,1.0,,,,,,,
AADACL2,ENSCJAG00000001095.4,ENSG00000197953,AADACL2,ortholog_one2one,93.7656,93.7656,100.0,1.0,ENSMUSG00000091376,Aadacl2,ortholog_one2one,79.3017,79.3017,100.0,1.0
AADAT,ENSCJAG00000005048.5,ENSG00000109576,AADAT,ortholog_one2one,88.914,92.4706,100.0,1.0,ENSMUSG00000057228,Aadat,ortholog_one2one,64.4796,65.9722,100.0,1.0
AAGAB,ENSCJAG00000002113.5,ENSG00000103591,AAGAB,ortholog_one2one,95.873,95.873,100.0,1.0,ENSMUSG00000037257,Aagab,ortholog_one2one,86.9841,86.7089,100.0,1.0
AAK1,ENSCJAG00000019159.4,ENSG00000115977,AAK1,ortholog_one2one,98.7539,98.9594,100.0,1.0,ENSMUSG00000057230,Aak1,ortholog_one2one,91.6926,92.0751,100.0,1.0
AAMP,ENSCJAG00000010793.5,ENSG00000127837,AAMP,ortholog_one2one,99.3088,99.3088,100.0,1.0,ENSMUSG00000006299,Aamp,ortholog_one2one,98.3871,97.9358,100.0,1.0
AAR2,ENSCJAG00000017423.5,ENSG00000131043,AAR2,ortholog_one2one,96.3542,96.3542,100.0,1.0,ENSMUSG00000027628,Aar2,ortholog_one2one,91.1458,91.1458,100.0,1.0
AARD,ENSCJAG00000077370.1,ENSG00000205002,AARD,ortholog_one2one,74.6667,72.2581,100.0,1.0,ENSMUSG00000068522,Aard,ortholog_one2one,51.3333,46.1078,100.0,0.0
AARS1,ENSCJAG00000014562.5,ENSG00000090861,AARS1,ortholog_one2one,97.5232,97.624,100.0,1.0,ENSMUSG00000031960,Aars,ortholog_one2one,95.1496,95.2479,100.0,1.0
AARS2,ENSCJAG00000048207.3,ENSG00000124608,AARS2,ortholog_one2one,90.5605,93.5025,100.0,1.0,ENSMUSG00000023938,Aars2,ortholog_one2one,81.0226,84.0816,100.0,1.0
AARSD1,ENSCJAG00000013086.5,ENSG00000266967,AARSD1,ortholog_one2one,73.1755,90.0485,100.0,1.0,ENSMUSG00000075528,Aarsd1,ortholog_one2one,70.6114,86.8932,100.0,1.0
AASDH,ENSCJAG00000018076.5,ENSG00000157426,AASDH,ortholog_one2one,95.4421,95.3552,100.0,1.0,ENSMUSG00000055923,Aasdh,ortholog_one2one,73.1996,73.0,100.0,1.0
AASDHPPT,ENSCJAG00000075247.1,ENSG00000149313,AASDHPPT,ortholog_one2one,92.8793,97.0874,100.0,1.0,ENSMUSG00000025894,Aasdhppt,ortholog_one2one,85.4489,89.3204,100.0,1.0
AASS,ENSCJAG00000017282.5,ENSG00000008311,AASS,ortholog_one2one,95.7883,95.7883,100.0,1.0,ENSMUSG00000029695,Aass,ortholog_one2one,87.581,87.581,100.0,1.0
AATK,ENSCJAG00000003209.6,ENSG00000181409,AATK,ortholog_one2one,79.4502,84.1339,100.0,1.0,ENSMUSG00000025375,Aatk,ortholog_one2one,65.3608,69.214,100.0,1.0
ABAT,ENSCJAG00000017292.5,ENSG00000183044,ABAT,ortholog_one2one,77.6,97.0,50.0,1.0,ENSMUSG00000057880,Abat,ortholog_one2one,73.28,91.6,50.0,0.0
ABCA1,ENSCJAG00000016653.5,ENSG00000165029,ABCA1,ortholog_one2one,89.2944,97.3905,50.0,1.0,ENSMUSG00000015243,Abca1,ortholog_one2one,86.6586,94.5157,50.0,0.0
ABCA12,ENSCJAG00000011510.5,ENSG00000144452,ABCA12,ortholog_one2one,96.763,96.763,100.0,1.0,ENSMUSG00000050296,Abca12,ortholog_one2one,88.9403,88.9403,100.0,1.0
ABCA13,ENSCJAG00000000920.5,ENSG00000179869,ABCA13,ortholog_one2one,88.7856,88.7505,75.0,1.0,ENSMUSG00000004668,Abca13,ortholog_one2one,64.8932,65.1768,100.0,1.0
ABCA3,ENSCJAG00000014934.4,ENSG00000167972,ABCA3,ortholog_one2one,91.7143,94.1901,100.0,1.0,ENSMUSG00000024130,Abca3,ortholog_one2one,83.5429,85.7981,100.0,1.0
ABCA4,ENSCJAG00000017910.5,ENSG00000198691,ABCA4,ortholog_one2one,96.35,96.3924,100.0,1.0,ENSMUSG00000028125,Abca4,ortholog_one2one,87.511,86.1472,100.0,1.0
ABCA5,ENSCJAG00000000147.5,ENSG00000154265,ABCA5,ortholog_one2one,96.8331,96.8331,100.0,1.0,ENSMUSG00000018800,Abca5,ortholog_one2one,89.2814,89.2814,100.0,1.0
